Ano/Mês,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro
1985,3318.00,3802.00,4161.00,4680.00,
1986,11170.00,12985.00,13.84,13.84,13.84,13.84,13.84,13.84,13.84,13.84,14.09,14.452
1987,15.589,17.985,20.729,23.820,30.874,38.097,44.918,46.931,49.719,53.016,58.026,67.423
1988,77.277,90.538,106.80,125.15,148.39,177.05,213.91,264.97,321.35,403.69,519.60,661.37
1989,859.25,1.00,1.00,1.00,1.10,1.3480,1.8820,2.4360,3.2190,4.3380,6.0480,9.1770
1990,13.735,24.345,38.388,46.853,51.239,55.962,66.531,71.982,75.493,92.477,118.24,151.31
1991,190.47,221.56,229.15,251.37,272.69,296.06,326.53,370.09,425.87,577.23,731.57,945.85
1992,1179.05,1467.45,1768.45,2196.00,2612.80,3144.10,3789.80,4620.45,5697.40,7118.10,8872.30,11066.95
1993,14080.50,18156.75,22183.00,28270.00,36445.40,47413.00,62136.00,80851.00,108.944,149.260,199.745,270.065
1994,381.530,532.660,755.520,1104.88,1508.820,2230.00,0.925,0.906,0.855,0.835,0.838,0.851
1995,0.847,0.837,0.884,0.905,0.891,0.909,0.926,0.942,0.953,0.958,0.9627,0.9677
1996,0.97827,0.9829,0.9868,0.9899,0.9957,1.0015,1.0062,1.0122,1.0192,1.0251,1.0305,1.0389
1997,1.0426,1.0495,1.0554,1.0606,1.0678,1.0745,1.0808,1.0873,1.0927,1.0994,1.1082,1.1143
1998,1.1206,1.1276,1.1334,1.1407,1.1472,1.1551,1.1615,1.1716,1.1798,1.1886,1.1915,1.2052
1999,1.4659,1.8984,1.8825,1.6688,1.6570,1.7892,1.8281,1.8711,1.8779,1.9794,1.9331,1.8501
2000,1.7997,1.7764,1.7431,1.7833,1.8382,1.8079,1.8106,1.8056,1.8438,1.8764,1.9441,1.9678
2001,1.9475,1.9812,2.0864,2.1573,2.3384,2.4079,2.5538,2.5005,2.6986,2.7790,2.5299,2.3840
2002,2.3705,2.4380,2.3542,2.3180,2.5117,2.7181,2.8455,3.1912,3.1506,3.8567,3.6797,3.7342
2003,3.2983,3.6580,3.3958,3.1154,2.9306,2.8570,2.8554,2.9930,2.8898,2.8268,2.9418,2.9293
2004,2.8126,2.9085,2.9013,2.9064,3.0982,3.1380,3.0215,3.0235,2.9042,2.8623,2.7991,2.7508
2005,2.7074,2.5762,2.7621,2.5971,2.4715,2.4455,2.3427,2.3422,2.3012,2.2511,2.1990,2.2957
2006,2.2747,2.1375,2.1215,2.1426,2.1774,2.2845,2.2130,21480,2.1540,2.1419,2.1537,2.1470
2007,2.1407,2.0896,2.0909,2.0231,1.9922,1.9097,1.8684,2.0043,1.9031,1.8078,1.7378,1.7959
2008,1.7450,1.7541,1.6947,1.6822,1.6601,1.6368,1.5910,1.6389,1.8125,2.1551,2.2800,2.3690
2009,2.3803,2.2680,2.3012,2.1992,2.0762,1.9458,1.9420,1.8385,1.8087,1.7037,1.7290,1.7557
2010,1.7711,1.8670,1.7644,1.7483,1.7967,1.7971,1.7690,1.7716,1.7169,1.6604,1.7198,1.6988
2011,1.6843,1.6682,1.6692,1.5776,1.6328,1.5960,1.5743,1.5956,1.7106,1.7376,1.7649,1.8609
2012,1.7853,1.7158,1.8006,1.8364,1.9947,2.0443,2.0338,2.0234,2.0139,2.0382,2.0629,2.0840
2013,2.0374,1.9600,1.9749,1.9790,2.0233,2.1367,2.2548,2.3434,2.2785,2.1818,2.3289,2.3354
2014,2.3470,2.3924,2.3638,2.2257,2.2166,2.2347,2.2195,2.2690,2.3401,2.4316,2.6136,2.6717
2015,2.6122,2.8392,3.2264,3.0681,2.9894,3.1036,3.1532,3.4761,3.8599,3.8344,3.8023,3.8703
2016,3.8711,3.9885,3.7116,3.5276,3.5041,3.4768,3.2656,3.1672,3.3326,3.1864,3.4446,3.3830
2017,3.3830,3.2034,3.0779,3.1629,3.1269,3.1011,3.2836,3.1899,3.1976,3.1255,3.1572,3.2834
2018,3.3182,3.1963,3.2208,3.2859,3.4105,3.6753,3.7738,3.8745,3.9134,4.1879,3.7332,3.7924
2019,3.909,3.7049,3.7155,3.8344,3.8730,4.0031,3.8813,3.7463,4.0188,4.0616,4.1488,4.1831
2020,4.0949,4.1622,4.3163,4.7362,5.2579,5.8229,5.1883,5.3491,5.3852,5.2728,5.6172,5.4854
2021,5.0968,5.2714,5.3815,5.6296,5.6234,5.2701,5.0874,5.1000,5.2474,5.2576,5.4510,5.4199
2022,5.7127,5.5349,5.1881,5.1314,4.7158,5.1075,5.1119,5.4014,5.0925,5.2211,5.2824,5.3013
2023,5.3183,5.1146,5.2243,5.2981,4.9455,4.9103,4.8222,4.7957,4.9812,4.8689,5.0625,4.8682
2024,4.9397,4.8765,4.9710,4.9937,5.1746,5.1423,5.3630,5.4563,,,,
